Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,First seen,Last seen,New link,Lost link,Referring Domain
36,Kevin McLellan,https://kevmclellan.com/,http://requitedjournal.com/index.php?%2Fpoetry%2Fkevin-mclellan%2F,http://requitedjournal.com/index.php?/poetry/kevin-mclellan/,29,26,False,False,False,True,False,False,False,2024-09-06,2025-04-06,False,False,kevmclellan.com
35,EPC/Rosmarie Waldrop Author Home Page,https://writing.upenn.edu/epc/authors/waldropr/,http://requitedjournal.com/index.php?%2Fessay%2Fan-interview-with-rosmarie-waldrop%2F,Interview with Rosmarie Waldrop,42,10,False,False,False,True,False,False,False,2024-06-05,2025-05-01,False,False,writing.upenn.edu
24,Two LitBlog Obituaries: Trick With A Knife & Big Other | HTMLGIANT,http://htmlgiant.com/mean/two-litblog-obituaries-trick-with-a-knife-big-other/,http://www.requitedjournal.com/index.php?%2Fongoing%2Fjimmy-chen%2F,http://www.requitedjournal.com/index.php?/ongoing/jimmy-chen/,20,174,True,False,True,True,False,False,False,2024-05-16,2025-04-18,False,False,htmlgiant.com
22,Future Anachronism: Concrete Poetry and other Digital Literatures,https://www.futureanachronism.com/,http://requitedjournal.com/index.php?%2Fpoetry%2Fs-cearley%2F,Requited,77,44,False,False,False,True,False,False,False,2024-08-06,2025-04-28,False,False,futureanachronism.com
21,the wild frontier,http://adamadamadamadamadam.blogspot.com/,http://requitedjournal.com/index.php?%2Ffiction%2Fadam-moorad%2F,requited,148,26,False,False,False,True,False,False,False,2024-07-26,2025-05-04,False,False,adamadamadamadamadam.blogspot.com
20,Interview with Shannon Sanders - by Rachel León,https://pubcheerleader.substack.com/p/interview-with-shannon-sanders,https://www.requitedjournal.com/issue-19/fiction/shannon-sanders,short piece,15,12,False,False,False,True,False,False,False,2024-06-20,2025-04-30,False,False,pubcheerleader.substack.com
19,EPC/Rosmarie Waldrop Author Home Page,https://writing.upenn.edu/epc/authors/waldropr/index.html,http://requitedjournal.com/index.php?%2Fessay%2Fan-interview-with-rosmarie-waldrop%2F,Interview with Rosmarie Waldrop,42,10,False,False,False,True,False,False,False,2024-05-21,2025-05-01,False,False,writing.upenn.edu
19,Silliman's Blog,https://writing.upenn.edu/epc/mirrors/ronsilliman.blogspot.com/2010/07/kerouac-students-organize-to-save.html,http://www.requitedjournal.com/index.php?%2Fessay%2Fish-klein%2F,Ish Klein,174,7,False,False,False,True,False,False,False,2024-09-05,2025-05-01,False,False,writing.upenn.edu
19,Silliman's Blog,https://www.writing.upenn.edu/epc/mirrors/ronsilliman.blogspot.com/2010/07/kerouac-students-organize-to-save.html,http://www.requitedjournal.com/index.php?%2Fessay%2Fish-klein%2F,Ish Klein,174,7,False,False,False,True,False,False,False,2024-09-11,2025-04-25,False,False,writing.upenn.edu
18,Call for Video Essays and Cinepoems | TriQuarterly,https://triquarterly.lb.mtiapp.northwestern.edu/issues/issue-144/call-video-essays-and-cinepoems,http://requitedjournal.com/index.php?%2Fform%2Feula-biss-and-john-bresland%2F,"“Ode to Every Thing,”",5,45,False,False,False,True,False,False,False,2024-08-29,2024-12-29,False,True,triquarterly.lb.mtiapp.northwestern.edu
16,Melanie Faranello Writing and Awards - Melanie Pappadis Faranello Writer,https://www.melaniefaranello.com/,https://www.requitedjournal.com/,"Requited Journal, ""Newborn Eyes"" 2013",28,9,False,False,False,False,False,False,True,2024-09-08,2025-03-01,False,True,melaniefaranello.com
15,The Ever Risable Dark Knight | HTMLGIANT,http://htmlgiant.com/craft-notes/the-ever-risable-dark-knight/,http://requitedjournal.com/index.php?%2Fessay%2Fwilliam-bowers%2F,I Went and Saw Me Some Spider-Man,65,215,True,False,False,True,False,False,False,2024-04-30,2025-04-26,False,False,htmlgiant.com
15,Games We Play – Requited Journal Archives (2009-2018),http://libblogs.luc.edu/requited/2015/09/05/games-we-play/,http://requitedjournal.com/,MAIN www.kartoshkaaaaa.com.,3,17,False,False,False,True,False,False,False,2024-09-14,2025-04-27,False,False,libblogs.luc.edu
15,We Were So On* – Requited Journal Archives (2009-2018),http://libblogs.luc.edu/requited/2015/09/17/we-were-so-on/,http://requitedjournal.com/,MAIN www.kartoshkaaaaa.com.,3,17,False,False,False,True,False,False,False,2024-05-27,2025-04-25,False,False,libblogs.luc.edu
15,Games We Play – Requited Journal Archives (2009-2018),https://libblogs.luc.edu/requited/2015/09/05/games-we-play/,http://requitedjournal.com/,MAIN www.kartoshkaaaaa.com.,3,17,False,False,False,True,False,False,False,2024-09-25,2025-04-16,False,False,libblogs.luc.edu
15,We Were So On* – Requited Journal Archives (2009-2018),https://libblogs.luc.edu/requited/2015/09/17/we-were-so-on/,http://requitedjournal.com/,MAIN www.kartoshkaaaaa.com.,3,17,False,False,False,True,False,False,False,2024-06-09,2025-04-15,False,False,libblogs.luc.edu
15,Green Lantern Press » Publications,https://thegreenlantern.org/publications/,http://requitedjournal.com/index.php?%2Fvisual%2Fdevin-king%2F,Devin King in Requited .,88,9,False,False,False,True,False,False,False,2024-04-06,2025-04-27,False,False,thegreenlantern.org
15,zoran rosko vacuum player,https://zorosko.blogspot.com/,http://www.requitedjournal.com/,Requited Journal,806,3496,False,False,False,True,False,False,False,2024-05-16,2025-05-04,False,False,zorosko.blogspot.com
14,"UCC Research Profiles: , Nua-Ghaeilge (Modern Irish)",http://research.ucc.ie/profiles/A006/j.weeter@ucc.ie,http://www.requitedjournal.com/index.php?%2Fform%2Fjeffrey-weeter%2F,,12,179,False,False,False,True,False,False,False,2024-05-20,2024-11-27,False,False,research.ucc.ie
14,"UCC Research Profiles: , Italian",http://research.ucc.ie/profiles/A017/j.weeter@ucc.ie,http://www.requitedjournal.com/index.php?%2Fform%2Fjeffrey-weeter%2F,,12,179,False,False,False,True,False,False,False,2024-04-28,2024-12-04,False,False,research.ucc.ie
14,"UCC Research Profiles: Jeffrey Weeter, Music",http://research.ucc.ie/profiles/A021/j.weeter@ucc.ie,http://www.requitedjournal.com/index.php?%2Fform%2Fjeffrey-weeter%2F,,13,179,False,False,False,True,False,False,False,2024-04-24,2024-12-08,False,False,research.ucc.ie
14,"UCC Research Profiles: Jeffrey Weeter, Music",http://research.ucc.ie/profiles/A021/jweeter,http://www.requitedjournal.com/index.php?%2Fform%2Fjeffrey-weeter%2F,,13,179,False,False,False,True,False,False,False,2024-05-12,2024-12-15,False,False,research.ucc.ie
14,"UCC Research Profiles: , Paediatrics & Child Health",http://research.ucc.ie/profiles/C005/j.weeter@ucc.ie,http://www.requitedjournal.com/index.php?%2Fform%2Fjeffrey-weeter%2F,,12,179,False,False,False,True,False,False,False,2024-05-12,2024-12-15,False,False,research.ucc.ie
