Domain Name,Status,SZ Score,Spam message,Active History,Domain Age,Parked Pages,Redirects,Languages,Titles,Links,Archive,3xx Responses,2xx Responses,Min Words,Max Words,Min Hrefs,Max Hrefs,Ahrefs Domain Rating,Ahrefs URL Rating,Ahrefs Backlinks,Ahrefs Ref Domains,Ahrefs Ref Pages,Ahrefs Ref IPs, Ahrefs Ref Class C,Ahrefs Nofollow,Ahrefs Dofollow,Ahrefs Text,Ahrefs Image,Ahrefs Links External,Ahrefs .gov,Ahrefs .edu,Majestic Trust Flow,Majestic Citation Flow,Majestic External Backlinks,Majestic Ref Domains,Majestic Indexed URLs,Majestic Ref IPs,Majestic Ref Subnets,Majestic .gov,Majestic .edu,Majestic Redirect,Majestic Anchor Language,Majestic Topic 1,Majestic Topic 2,Majestic Topic 3,Lang History

aimawaymessages.com,clear,4,Clean,23,23,0,2,en,AIM Away Messages for IM Yahoo MSN Instant Messenger - Funny Away Messages Status Messages Picture Away Art,www.aimawaymessages.com,http://web.archive.org/web/20050519235447if_/http://www.aimawaymessages.com:80/,2,910,242,760,50,164,27,1,1882,106,1794,127,111,698,1181,1879,88,3575,0,0,12,16,7738,30,16,28,27,0,0,No,English Portuguese,Arts/Photography,Computers/Software/Barcode,Recreation/Travel,2005: English
,,,,,,,,,AIM Away Messages - Funny Away Messages for IM MSN Instant Messenger Status Messages Picture Love Romance,http://www.aimawaymessages.com/,http://web.archive.org/web/20051124144248if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006: English
,,,,,,,,,AIM Away Messages - Funny Away Messages for IM MSN Instant Messenger Status Messages Picture Love Romance MySpace Yahoo,http://aimlingo.aimawaymessages.com/,http://web.archive.org/web/20060526173631if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007: English
,,,,,,,,,AIM Away Messages - Funny Away Messages Funny Facebook Status Messages MSN Instant Messenger Picture Love Romance MySpace Yahoo,aimlingo.aimawaymessages.com,http://web.archive.org/web/20061205055312if_/http://aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008: English
,,,,,,,,,The domain name aimawaymessages.com is for sale,aim away messages,http://web.archive.org/web/20070606222337if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009: English
,,,,,,,,,,away messages,http://web.archive.org/web/20071208113749if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010: English
,,,,,,,,,,aimawaymessages.com,http://web.archive.org/web/20080610060900if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011: English
,,,,,,,,,,learn aim lingo - instant message lingo aol msn chat slang,http://web.archive.org/web/20081216011707if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012: English
,,,,,,,,,,text-speak,http://web.archive.org/web/20090709092808if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013: English
,,,,,,,,,,http://www.aimawaymessages.com,http://web.archive.org/web/20100102073604if_/http://aimawaymessages.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014: English
,,,,,,,,,,,http://web.archive.org/web/20100527041408if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015: English
,,,,,,,,,,,http://web.archive.org/web/20101005224123if_/http://aimawaymessages.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016: English
,,,,,,,,,,,http://web.archive.org/web/20110212001103if_/http://aimawaymessages.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017: English
,,,,,,,,,,,http://web.archive.org/web/20110615222452if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018: English
,,,,,,,,,,,http://web.archive.org/web/20111016153403if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019: English
,,,,,,,,,,,http://web.archive.org/web/20120311212451if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020: English
,,,,,,,,,,,http://web.archive.org/web/20120803040420if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021: English
,,,,,,,,,,,http://web.archive.org/web/20121208184557if_/http://www.aimawaymessages.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022: English
,,,,,,,,,,,http://web.archive.org/web/20130501231532if_/http://www.aimawaymessages.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023: English
,,,,,,,,,,,http://web.archive.org/web/20130917134337if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024: English
,,,,,,,,,,,http://web.archive.org/web/20140130235525if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,http://web.archive.org/web/20140625083428if_/http://www.aimawaymessages.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,http://web.archive.org/web/20141216185558if_/http://aimawaymessages.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,http://web.archive.org/web/20150429151657if_/http://www.aimawaymessages.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
